background_index,background_photo,geometry_count,prediction_count,centerline_length_mare_percent,centerline_length_miss_count,mean_width_mare_percent,mean_width_miss_count,max_width_mare_percent,max_width_miss_count,crack_area_mare_percent,crack_area_miss_count,across_target_mare_percent,interval_miss_count,interval_coverage
1,backgrounds/photographic/001.jpg,8,32,1.2843002855595747,0,0.906937304021697,0,4.717506411782931,1,1.9993421290933955,0,2.227021532614399,1,0.96875
2,backgrounds/photographic/002.jpg,8,32,1.6682834170217549,0,0.9341371948440483,0,3.188404784930747,0,2.988746252237718,1,2.1948929122585668,1,0.96875
3,backgrounds/photographic/003.jpg,8,32,1.3150633150219364,0,0.6753708113132544,0,3.5436732768047903,1,1.94534776646554,0,1.8698637924013801,1,0.96875
4,backgrounds/photographic/004.jpg,8,32,1.5256654098210163,0,0.5083020667322246,0,3.2999541025921113,0,2.145115520153914,0,1.8697592748248164,0,1.0
5,backgrounds/photographic/005.jpg,8,32,2.401322141911615,0,1.0211008562023984,0,3.2272501068223436,0,3.9987312595115414,1,2.6621010911119747,1,0.96875
6,backgrounds/photographic/006.jpg,8,32,2.0961834616785966,0,2.0622599031641125,0,3.7665087044720775,0,3.972332807154,2,2.9743212191171966,2,0.9375
7,backgrounds/photographic/007.jpg,8,32,1.8369419163695004,0,1.7282582737565066,0,3.3513860910930657,0,3.549563030525145,1,2.616537327936054,1,0.96875
8,backgrounds/photographic/008.jpg,8,32,0.9988357142105305,0,0.8629700670303851,0,3.7829368195700415,0,1.8735137968267521,0,1.8795640994094274,0,1.0
9,backgrounds/photographic/009.jpg,8,32,1.3380927104517022,0,1.030749769366302,0,2.8437410579074824,0,2.4814947637709146,0,1.9235195753741003,0,1.0
10,backgrounds/photographic/010.jpg,8,32,0.8947613946436703,0,0.6514991596746758,0,3.61062413466315,0,1.633454958576323,0,1.6975849118894548,0,1.0
11,backgrounds/photographic/011.jpg,8,32,1.067703753429124,0,1.4948993636698962,0,3.8167652386413793,0,2.6124424105183626,0,2.2479526915646906,0,1.0
12,backgrounds/photographic/012.jpg,8,32,8.097050000267828,6,5.422567301071876,4,6.136994432976446,2,14.111625101743854,7,8.442059209015,19,0.40625
13,backgrounds/photographic/013.jpg,8,32,2.5110848442531757,0,3.579997568249581,0,3.9306544391241887,2,5.897779863573587,4,3.9798791788001333,6,0.8125
14,backgrounds/photographic/014.jpg,8,32,2.365874924311371,1,3.225376558261084,1,4.252024186363602,0,5.601075348940741,3,3.8610877544691995,5,0.84375
15,backgrounds/photographic/015.jpg,8,32,4.833017778561843,2,4.338947037977417,2,4.839933373815868,1,8.600523227076295,5,5.653105354357857,10,0.6875
16,backgrounds/photographic/016.jpg,8,32,1.1905796112818863,0,1.1689545228040377,0,3.579286832499885,1,2.1286735621554085,0,2.0168736321853045,1,0.96875
